,image_names,iou_values,iter_time
0,Persian_221,0.754781282930876,1.2488378681474637e-06
1,Sphynx_25,0.7354560036903851,1.2488378681474637e-06
2,american_bulldog_140,0.8421427713496417,1.2488378681474637e-06
3,english_cocker_spaniel_10,0.7419016794799269,1.2488378681474637e-06
4,Ragdoll_188,0.8138161534726692,1.2488378681474637e-06
5,german_shorthaired_126,0.9012438084755091,1.2488378681474637e-06
6,Bengal_103,0.7161844883552362,1.2488378681474637e-06
7,Sphynx_33,0.37504986915685623,1.2488378681474637e-06
8,german_shorthaired_66,0.49299320389398504,1.2488378681474637e-06
9,pug_97,0.8663893840364428,1.2488378681474637e-06
10,Sphynx_37,0.686898208174804,1.2488378681474637e-06
11,Abyssinian_66,0.8218972383626036,1.2488378681474637e-06
12,shiba_inu_131,0.7502293467239631,1.2488378681474637e-06
13,Birman_7,0.7693377538209402,1.2488378681474637e-06
14,boxer_27,0.7893821790430547,1.2488378681474637e-06
15,Maine_Coon_264,0.8223831141724066,1.2488378681474637e-06
16,Persian_152,0.7354366116756931,1.2488378681474637e-06
17,saint_bernard_50,0.8414196284500165,1.2488378681474637e-06
18,english_cocker_spaniel_144,0.4551174496644295,1.2488378681474637e-06
19,leonberger_24,0.7619914933041354,1.2488378681474637e-06
20,shiba_inu_132,0.7161071838335986,1.2488378681474637e-06
21,leonberger_2,0.7917042292164779,1.2488378681474637e-06
22,British_Shorthair_67,0.8393034312519347,1.2488378681474637e-06
23,Persian_16,0.7095125605507707,1.2488378681474637e-06
24,staffordshire_bull_terrier_67,0.5843764051833381,1.2488378681474637e-06
25,British_Shorthair_72,0.7618648103217615,1.2488378681474637e-06
26,shiba_inu_140,0.4459853647496668,1.2488378681474637e-06
27,British_Shorthair_70,0.855910675252555,1.2488378681474637e-06
28,Persian_255,0.7902626921608773,1.2488378681474637e-06
29,beagle_1,0.6454525753088204,1.2488378681474637e-06
30,yorkshire_terrier_82,0.48584880023913696,1.2488378681474637e-06
31,Egyptian_Mau_95,0.803512237586634,1.2488378681474637e-06
32,Abyssinian_122,0.8223931903748568,1.2488378681474637e-06
33,english_setter_42,0.8470661235600837,1.2488378681474637e-06
34,keeshond_92,0.8263533124257358,1.2488378681474637e-06
35,Maine_Coon_89,0.6686046511627907,1.2488378681474637e-06
36,Siamese_240,0.783006321991939,1.2488378681474637e-06
37,english_setter_96,0.35986212772549475,1.2488378681474637e-06
38,Russian_Blue_180,0.7991377756830563,1.2488378681474637e-06
39,yorkshire_terrier_90,0.8372481409762664,1.2488378681474637e-06
40,chihuahua_38,0.7347993150644628,1.2488378681474637e-06
41,boxer_108,0.7931321582324751,1.2488378681474637e-06
42,havanese_84,0.860222352493495,1.2488378681474637e-06
43,Bombay_16,0.8985884645564054,1.2488378681474637e-06
44,Russian_Blue_199,0.6823707199384917,1.2488378681474637e-06
45,basset_hound_14,0.7717495199668417,1.2488378681474637e-06
46,Sphynx_72,0.7996522797409484,1.2488378681474637e-06
47,pug_13,0.8554922279792746,1.2488378681474637e-06
48,Maine_Coon_79,0.761842886083202,1.2488378681474637e-06
49,Russian_Blue_212,0.5417151947277221,1.2488378681474637e-06
50,leonberger_189,0.8825781455966805,1.2488378681474637e-06
51,yorkshire_terrier_75,0.8917490989954758,1.2488378681474637e-06
52,British_Shorthair_109,0.8164834933910522,1.2488378681474637e-06
53,wheaten_terrier_1,0.8750749863870867,1.2488378681474637e-06
54,Russian_Blue_171,0.6300923889133304,1.2488378681474637e-06
55,British_Shorthair_93,0.6705130279980579,1.2488378681474637e-06
56,British_Shorthair_40,0.6030346559777046,1.2488378681474637e-06
57,Siamese_128,0.7055981061133547,1.2488378681474637e-06
58,basset_hound_181,0.8094810211098423,1.2488378681474637e-06
59,staffordshire_bull_terrier_41,0.785684350890561,1.2488378681474637e-06
60,Birman_31,0.7023637107001046,1.2488378681474637e-06
61,Abyssinian_19,0.7975690350862628,1.2488378681474637e-06
62,Russian_Blue_95,0.7482395794161671,1.2488378681474637e-06
63,Abyssinian_31,0.8485056050253104,1.2488378681474637e-06
64,Abyssinian_24,0.8391817328011271,1.2488378681474637e-06
65,British_Shorthair_2,0.8553309552120492,1.2488378681474637e-06
66,english_cocker_spaniel_68,0.5735092237896636,1.2488378681474637e-06
67,Maine_Coon_43,0.7972816793134645,1.2488378681474637e-06
68,Ragdoll_125,0.6976982173048972,1.2488378681474637e-06
69,beagle_180,0.8080440071427716,1.2488378681474637e-06
70,Bengal_147,0.8091974900924703,1.2488378681474637e-06
71,chihuahua_19,0.7307137077196958,1.2488378681474637e-06
72,Abyssinian_210,0.7126286825750747,1.2488378681474637e-06
73,boxer_17,0.8456221584713205,1.2488378681474637e-06
74,Abyssinian_9,0.8587018626442692,1.2488378681474637e-06
75,Bombay_48,0.7351244661482704,1.2488378681474637e-06
76,Russian_Blue_8,0.7737143218383539,1.2488378681474637e-06
77,basset_hound_118,0.7695865908031624,1.2488378681474637e-06
78,Bengal_50,0.6107428390659151,1.2488378681474637e-06
79,Russian_Blue_24,0.7573933209647495,1.2488378681474637e-06
80,British_Shorthair_180,0.7857588014615131,1.2488378681474637e-06
81,leonberger_100,0.7980987248559482,1.2488378681474637e-06
82,Egyptian_Mau_187,0.7730337528260739,1.2488378681474637e-06
83,Egyptian_Mau_14,0.7466992937552563,1.2488378681474637e-06
84,pug_65,0.9007879390423054,1.2488378681474637e-06
85,newfoundland_110,0.7781520692974013,1.2488378681474637e-06
86,boxer_11,0.8272328470599072,1.2488378681474637e-06
87,american_bulldog_199,0.8004401854938048,1.2488378681474637e-06
